"pub_utc_date","year","month","day","hour","polygon_slug","uuid","pubmillis","country","city","street","type","subtype","roadtype","longitude","latitude","nthumbsup","reliability","reportrating","confidence","magvar","reportdescription"
"2019-06-16 01:42:00.000","2019","6","16","1","4_old","aa78340c-d6f8-3411-8171-bc24d0ea4be9","1560647354173","UY","Montevideo","Av. Italia","WEATHERHAZARD","HAZARD_WEATHER_FLOOD","2","-56.070735","-34.878571","0","5","3","0","249",
"2019-06-16 01:49:00.000","2019","6","16","1","4_old","aa78340c-d6f8-3411-8171-bc24d0ea4be9","1560647354173","UY","Montevideo","Av. Italia","WEATHERHAZARD","HAZARD_WEATHER_FLOOD","2","-56.070735","-34.878571","0","5","3","0","249",
"2019-06-16 01:50:00.000","2019","6","16","1","4_old","aa78340c-d6f8-3411-8171-bc24d0ea4be9","1560647354173","UY","Montevideo","Av. Italia","WEATHERHAZARD","HAZARD_WEATHER_FLOOD","2","-56.070735","-34.878571","0","5","3","0","249",
"2019-06-16 18:14:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:07:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:06:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 01:30:00.000","2019","6","16","1","4_old","aa78340c-d6f8-3411-8171-bc24d0ea4be9","1560647354173","UY","Montevideo","Av. Italia","WEATHERHAZARD","HAZARD_WEATHER_FLOOD","2","-56.070735","-34.878571","0","5","3","0","249",
"2019-06-16 01:56:00.000","2019","6","16","1","4_old","aa78340c-d6f8-3411-8171-bc24d0ea4be9","1560647354173","UY","Montevideo","Av. Italia","WEATHERHAZARD","HAZARD_WEATHER_FLOOD","2","-56.070735","-34.878571","0","5","3","0","249",
"2019-06-16 02:02:00.000","2019","6","16","2","4_old","aa78340c-d6f8-3411-8171-bc24d0ea4be9","1560647354173","UY","Montevideo","Av. Italia","WEATHERHAZARD","HAZARD_WEATHER_FLOOD","2","-56.070735","-34.878571","0","5","3","0","249",
"2019-06-16 18:21:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:10:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:19:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:11:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 01:20:00.000","2019","6","16","1","4_old","aa78340c-d6f8-3411-8171-bc24d0ea4be9","1560647354173","UY","Montevideo","Av. Italia","WEATHERHAZARD","HAZARD_WEATHER_FLOOD","2","-56.070735","-34.878571","0","5","3","0","249",
"2019-06-16 02:04:00.000","2019","6","16","2","4_old","aa78340c-d6f8-3411-8171-bc24d0ea4be9","1560647354173","UY","Montevideo","Av. Italia","WEATHERHAZARD","HAZARD_WEATHER_FLOOD","2","-56.070735","-34.878571","0","5","3","0","249",
"2019-06-16 17:52:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 17:34:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:26:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 02:06:00.000","2019","6","16","2","4_old","aa78340c-d6f8-3411-8171-bc24d0ea4be9","1560647354173","UY","Montevideo","Av. Italia","WEATHERHAZARD","HAZARD_WEATHER_FLOOD","2","-56.070735","-34.878571","0","5","3","0","249",
"2019-06-16 17:36:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
