time,cloudCover,humidity,precipIntensity,windSpeed
2018-10-01 00:00:00,0.45,0.83,0.7229,9.63
2018-10-01 01:00:00,0.41,0.84,0.5043,9.74
2018-10-01 02:00:00,0.34,0.84,0.2219,9.54
2018-10-01 03:00:00,0.29,0.85,0.0972,9.22
2018-10-01 04:00:00,0.29,0.84,0.064,9.29
2018-10-01 05:00:00,0.32,0.81,0.0452,9.45
2018-10-01 06:00:00,0.33,0.77,0.0304,9.6
2018-10-01 07:00:00,0.32,0.74,0.0175,9.7
2018-10-01 08:00:00,0.3,0.71,0.0083,9.8
2018-10-01 09:00:00,0.28,0.67,0,9.47
2018-10-01 10:00:00,0.45,0.66,0,9.55
2018-10-01 11:00:00,0.68,0.66,0,9.71
2018-10-01 12:00:00,0.81,0.66,0,9.96
2018-10-01 13:00:00,0.76,0.66,0,10.35
2018-10-01 14:00:00,0.6,0.67,0.0062,10.83
2018-10-01 15:00:00,0.44,0.69,0.0117,10.91
2018-10-01 16:00:00,0.3,0.7,0.0175,10.99
2018-10-01 17:00:00,0.14,0.72,0.0371,10.98
2018-10-01 18:00:00,0.04,0.73,0.0564,11.03
2018-10-01 19:00:00,0,0.72,0.0528,11.25
2018-10-01 20:00:00,0.01,0.71,0.0483,11.51
2018-10-01 21:00:00,0.05,0.7,0.0533,11.62
2018-10-01 22:00:00,0.27,0.72,0.0462,11.52
2018-10-01 23:00:00,0.56,0.73,0.0311,11.3
2018-10-02 00:00:00,0.78,0.76,0.0212,11.02
2018-10-02 01:00:00,0.85,0.79,0.0174,10.67
2018-10-02 02:00:00,0.86,0.79,0.0166,10.29
2018-10-02 03:00:00,0.85,0.79,0.0182,9.65
2018-10-02 04:00:00,0.87,0.79,0.0217,9.5
2018-10-02 05:00:00,0.89,0.78,0.0289,9.49
2018-10-02 06:00:00,0.89,0.75,0.0363,9.46
2018-10-02 07:00:00,0.86,0.72,0.0359,9.43
2018-10-02 08:00:00,0.81,0.7,0.033,9.4
2018-10-02 09:00:00,0.7,0.68,0.0267,8.97
2018-10-02 10:00:00,0.54,0.66,0.0234,8.91
2018-10-02 11:00:00,0.33,0.66,0.0207,8.88
2018-10-02 12:00:00,0.18,0.66,0.019,8.82
2018-10-02 13:00:00,0.12,0.66,0.0151,8.67
2018-10-02 14:00:00,0.11,0.66,0.0121,8.47
2018-10-02 15:00:00,0.1,0.67,0.0114,7.87
2018-10-02 16:00:00,0.09,0.68,0.0138,7.77
2018-10-02 17:00:00,0.09,0.68,0.022,7.77
2018-10-02 18:00:00,0.08,0.69,0.0321,7.76
2018-10-02 19:00:00,0.08,0.69,0.0384,7.74
2018-10-02 20:00:00,0.08,0.7,0.0412,7.73
2018-10-02 21:00:00,0.07,0.71,0.0347,7.62
2018-10-02 22:00:00,0.1,0.72,0.0169,7.46
2018-10-02 23:00:00,0.15,0.73,0,7.26
2018-10-03 00:00:00,0.19,0.76,0,7.09
2018-10-03 01:00:00,0.23,0.78,0,7.04
2018-10-03 02:00:00,0.27,0.79,0,7.05
2018-10-03 03:00:00,0.28,0.79,0,6.82
2018-10-03 04:00:00,0.31,0.8,0,6.72
2018-10-03 05:00:00,0.32,0.79,0,6.61
2018-10-03 06:00:00,0.32,0.76,0.0078,6.53
2018-10-03 07:00:00,0.29,0.74,0.0213,6.49
2018-10-03 08:00:00,0.25,0.73,0.0637,6.46
2018-10-03 09:00:00,0.19,0.73,0.1041,6.29
2018-10-03 10:00:00,0.14,0.73,0.096,6.05
2018-10-03 11:00:00,0.08,0.72,0.073,5.73
2018-10-03 12:00:00,0.03,0.71,0.0572,5.47
2018-10-03 13:00:00,0.02,0.7,0.0351,5.31
2018-10-03 14:00:00,0.02,0.68,0.0181,5.22
2018-10-03 15:00:00,0.02,0.67,0.0156,5.02
2018-10-03 16:00:00,0.02,0.67,0.0147,5.13
2018-10-03 17:00:00,0.01,0.68,0.0171,5.36
2018-10-03 18:00:00,0.01,0.69,0.021,5.52
2018-10-03 19:00:00,0.01,0.7,0.0201,5.53
2018-10-03 20:00:00,0,0.71,0.0175,5.47
2018-10-03 21:00:00,0.01,0.72,0.0174,5.19
2018-10-03 22:00:00,0.04,0.73,0.0219,5.16
2018-10-03 23:00:00,0.09,0.74,0.0289,5.15
2018-10-04 00:00:00,0.12,0.77,0.0328,5.13
2018-10-04 01:00:00,0.12,0.79,0.03,5.05
2018-10-04 02:00:00,0.11,0.79,0.0257,4.96
2018-10-04 03:00:00,0.09,0.79,0.0204,4.93
2018-10-04 04:00:00,0.06,0.79,0.0176,4.76
2018-10-04 05:00:00,0.03,0.77,0.0152,4.54
2018-10-04 06:00:00,0.01,0.75,0.0128,4.23
2018-10-04 07:00:00,0,0.72,0.0076,3.76
2018-10-04 08:00:00,0,0.69,0,3.22
2018-10-04 09:00:00,0.01,0.67,0,3.09
2018-10-04 10:00:00,0.07,0.66,0.0062,2.64
2018-10-04 11:00:00,0.14,0.65,0.0124,2.19
2018-10-04 12:00:00,0.21,0.64,0.0181,1.86
2018-10-04 13:00:00,0.24,0.64,0.0178,1.7
2018-10-04 14:00:00,0.27,0.64,0.015,1.67
2018-10-04 15:00:00,0.31,0.63,0.015,1.61
2018-10-04 16:00:00,0.25,0.63,0.0104,1.68
2018-10-04 17:00:00,0.16,0.64,0.006,1.82
2018-10-04 18:00:00,0.1,0.65,0,1.93
2018-10-04 19:00:00,0.07,0.66,0.0052,1.98
2018-10-04 20:00:00,0.08,0.67,0.0099,2
2018-10-04 21:00:00,0.12,0.69,0.0168,1.82
2018-10-04 22:00:00,0.24,0.71,0.0232,1.76
2018-10-04 23:00:00,0.41,0.72,0.0288,1.69
2018-10-05 00:00:00,0.53,0.75,0.0348,1.64
2018-10-05 01:00:00,0.55,0.78,0.0554,1.63
2018-10-05 02:00:00,0.55,0.78,0.1404,1.64
2018-10-05 03:00:00,0.54,0.79,0.2442,1.77
2018-10-05 04:00:00,0.56,0.8,0.2915,1.92
2018-10-05 05:00:00,0.59,0.79,0.2939,2.11
2018-10-05 06:00:00,0.62,0.76,0.2684,2.22
2018-10-05 07:00:00,0.68,0.74,0.2164,2.14
2018-10-05 08:00:00,0.75,0.71,0.1645,1.97
2018-10-05 09:00:00,0.76,0.67,0.1294,1.75
2018-10-05 10:00:00,0.83,0.66,0.084,1.59
2018-10-05 11:00:00,0.89,0.65,0.0447,1.42
2018-10-05 12:00:00,0.91,0.65,0.0262,1.3
2018-10-05 13:00:00,0.83,0.64,0.0141,1.28
2018-10-05 14:00:00,0.69,0.64,0.0057,1.31
2018-10-05 15:00:00,0.53,0.63,0,1.25
2018-10-05 16:00:00,0.35,0.63,0,1.18
2018-10-05 17:00:00,0.15,0.63,0,1.09
2018-10-05 18:00:00,0.01,0.64,0,1.09
2018-10-05 19:00:00,0,0.65,0,1.21
2018-10-05 20:00:00,0,0.66,0,1.41
2018-10-05 21:00:00,0,0.68,0,1.21
2018-10-05 22:00:00,0,0.7,0,1.4
2018-10-05 23:00:00,0,0.71,0,1.67
2018-10-06 00:00:00,0.01,0.74,0,1.96
2018-10-06 01:00:00,0.02,0.76,0,2.32
2018-10-06 02:00:00,0.04,0.77,0,2.71
2018-10-06 03:00:00,0.04,0.77,0,3.05
2018-10-06 04:00:00,0.04,0.76,0,3.36
2018-10-06 05:00:00,0.04,0.75,0,3.64
2018-10-06 06:00:00,0.03,0.73,0,3.94
2018-10-06 07:00:00,0.03,0.71,0,4.27
2018-10-06 08:00:00,0.02,0.69,0,4.61
2018-10-06 09:00:00,0.02,0.67,0,4.82
2018-10-06 10:00:00,0.01,0.65,0,4.85
2018-10-06 11:00:00,0.01,0.65,0,4.78
2018-10-06 12:00:00,0,0.65,0,4.74
2018-10-06 13:00:00,0,0.65,0,4.82
2018-10-06 14:00:00,0,0.65,0,4.93
2018-10-06 15:00:00,0,0.65,0,4.91
2018-10-06 16:00:00,0.2,0.65,0,4.67
2018-10-06 17:00:00,0.48,0.66,0,4.34
2018-10-06 18:00:00,0.68,0.68,0,4.12
2018-10-06 19:00:00,0.73,0.7,0,4.1
2018-10-06 20:00:00,0.69,0.72,0,4.2
2018-10-06 21:00:00,0.69,0.75,0,4.59
2018-10-06 22:00:00,0.75,0.76,0,4.8
2018-10-06 23:00:00,0.82,0.77,0,5.03
2018-10-07 00:00:00,0.86,0.79,0,5.2
2018-10-07 01:00:00,0.8,0.81,0.0077,5.32
2018-10-07 02:00:00,0.71,0.83,0.0446,5.35
2018-10-07 03:00:00,0.66,0.85,0.1024,5.47
2018-10-07 04:00:00,0.7,0.86,0.1878,5.35
2018-10-07 05:00:00,0.78,0.85,0.3225,5.26
2018-10-07 06:00:00,0.85,0.83,0.4182,5.37
2018-10-07 07:00:00,0.88,0.81,0.3649,5.65
2018-10-07 08:00:00,0.9,0.78,0.2711,5.99
2018-10-07 09:00:00,0.93,0.76,0.2288,6.86
2018-10-07 10:00:00,0.95,0.75,0.2379,6.86
2018-10-07 11:00:00,0.98,0.73,0.2707,6.66
2018-10-07 12:00:00,1,0.72,0.2875,6.47
2018-10-07 13:00:00,1,0.71,0.2429,6.34
2018-10-07 14:00:00,1,0.7,0.179,6.23
2018-10-07 15:00:00,1,0.69,0.1254,5.92
2018-10-07 16:00:00,0.91,0.68,0.0632,6.15
2018-10-07 17:00:00,0.78,0.68,0.0191,6.53
2018-10-07 18:00:00,0.67,0.68,0.0058,6.84
2018-10-07 19:00:00,0.6,0.69,0,6.95
2018-10-07 20:00:00,0.55,0.7,0,6.98
2018-10-07 21:00:00,0.55,0.71,0,6.95
2018-10-07 22:00:00,0.65,0.72,0,7.08
2018-10-07 23:00:00,0.81,0.74,0,7.24
2018-10-08 00:00:00,0.92,0.76,0,7.31
2018-10-08 01:00:00,0.96,0.78,0,7.19
2018-10-08 02:00:00,0.96,0.79,0,6.97
2018-10-08 03:00:00,0.96,0.79,0,6.78
2018-10-08 04:00:00,0.98,0.79,0,6.71
2018-10-08 05:00:00,0.99,0.77,0.0094,6.69
2018-10-08 06:00:00,1,0.74,0.0198,6.71
2018-10-08 07:00:00,1,0.72,0.0246,6.77
2018-10-08 08:00:00,1,0.69,0.0259,6.87
2018-10-08 09:00:00,1,0.66,0.021,7.06
2018-10-08 10:00:00,0.92,0.65,0.0116,7.19
2018-10-08 11:00:00,0.81,0.64,0,7.35
2018-10-08 12:00:00,0.72,0.64,0,7.55
2018-10-08 13:00:00,0.64,0.64,0,7.78
2018-10-08 14:00:00,0.56,0.63,0,8.04
2018-10-08 15:00:00,0.55,0.63,0,8.43
2018-10-08 16:00:00,0.67,0.63,0,8.56
2018-10-08 17:00:00,0.86,0.63,0,8.6
2018-10-08 18:00:00,1,0.64,0,8.57
2018-10-08 19:00:00,1,0.65,0,8.42
2018-10-08 20:00:00,0.99,0.66,0,8.2
2018-10-08 21:00:00,0.97,0.64,0,7.54
2018-10-08 22:00:00,0.98,0.66,0,7.69
2018-10-08 23:00:00,0.99,0.68,0,8.11
2018-10-09 00:00:00,1,0.72,0,8.42
2018-10-09 01:00:00,0.97,0.76,0,8.43
2018-10-09 02:00:00,0.92,0.77,0,8.31
2018-10-09 03:00:00,0.88,0.77,0,8.11
2018-10-09 04:00:00,0.91,0.77,0,8.1
2018-10-09 05:00:00,0.97,0.75,0,8.17
2018-10-09 06:00:00,1,0.73,0,8.25
2018-10-09 07:00:00,0.99,0.7,0,8.27
2018-10-09 08:00:00,0.97,0.67,0,8.26
2018-10-09 09:00:00,0.89,0.67,0,8.63
2018-10-09 10:00:00,0.64,0.65,0,8.46
2018-10-09 11:00:00,0.3,0.65,0,8.17
2018-10-09 12:00:00,0.06,0.64,0,8
2018-10-09 13:00:00,0.01,0.64,0,8.01
2018-10-09 14:00:00,0,0.63,0,8.12
2018-10-09 15:00:00,0.04,0.63,0,8.16
2018-10-09 16:00:00,0.13,0.63,0,8.39
2018-10-09 17:00:00,0.26,0.63,0,8.69
2018-10-09 18:00:00,0.36,0.64,0.0074,8.95
2018-10-09 19:00:00,0.38,0.65,0.0087,9.16
2018-10-09 20:00:00,0.37,0.66,0.0087,9.35
2018-10-09 21:00:00,0.36,0.67,0.0065,9.07
2018-10-09 22:00:00,0.27,0.69,0,8.93
2018-10-09 23:00:00,0.15,0.71,0,8.75
2018-10-10 00:00:00,0.07,0.73,0,8.63
2018-10-10 01:00:00,0.04,0.76,0,8.63
2018-10-10 02:00:00,0.05,0.76,0,8.7
2018-10-10 03:00:00,0.06,0.77,0,8.73
2018-10-10 04:00:00,0.05,0.76,0,8.84
2018-10-10 05:00:00,0.05,0.75,0.0094,8.97
2018-10-10 06:00:00,0.06,0.73,0.0186,9.03
2018-10-10 07:00:00,0.09,0.7,0.0203,8.94
2018-10-10 08:00:00,0.13,0.68,0.0194,8.78
2018-10-10 09:00:00,0.19,0.65,0.0162,8.52
2018-10-10 10:00:00,0.19,0.63,0.0083,8.32
2018-10-10 11:00:00,0.18,0.63,0,8.12
2018-10-10 12:00:00,0.17,0.63,0,8
2018-10-10 13:00:00,0.15,0.63,0,8.01
2018-10-10 14:00:00,0.12,0.63,0,8.09
2018-10-10 15:00:00,0.09,0.62,0,8.31
2018-10-10 16:00:00,0.05,0.62,0,8.34
2018-10-10 17:00:00,0.01,0.63,0,8.33
2018-10-10 18:00:00,0,0.63,0,8.29
2018-10-10 19:00:00,0.01,0.65,0,8.26
2018-10-10 20:00:00,0.03,0.66,0,8.2
2018-10-10 21:00:00,0.09,0.7,0,7.7
2018-10-10 22:00:00,0.19,0.72,0,7.36
2018-10-10 23:00:00,0.3,0.73,0.0094,6.98
2018-10-11 00:00:00,0.37,0.75,0.0186,6.7
2018-10-11 01:00:00,0.35,0.77,0.0219,6.54
2018-10-11 02:00:00,0.29,0.78,0.0212,6.5
2018-10-11 03:00:00,0.23,0.79,0.0186,6.27
2018-10-11 04:00:00,0.23,0.78,0.0207,6.42
2018-10-11 05:00:00,0.26,0.77,0.0238,6.68
2018-10-11 06:00:00,0.26,0.74,0.0234,6.87
2018-10-11 07:00:00,0.24,0.71,0.0141,6.9
2018-10-11 08:00:00,0.19,0.69,0.0068,6.85
2018-10-11 09:00:00,0.14,0.65,0,6.23
2018-10-11 10:00:00,0.09,0.64,0,5.9
2018-10-11 11:00:00,0.04,0.63,0,5.53
2018-10-11 12:00:00,0,0.63,0,5.23
2018-10-11 13:00:00,0,0.63,0,5.05
2018-10-11 14:00:00,0,0.63,0,4.95
2018-10-11 15:00:00,0,0.62,0,4.62
2018-10-11 16:00:00,0,0.62,0,4.66
2018-10-11 17:00:00,0.01,0.63,0,4.79
2018-10-11 18:00:00,0.02,0.64,0,4.85
2018-10-11 19:00:00,0.02,0.65,0,4.74
2018-10-11 20:00:00,0.02,0.67,0,4.56
2018-10-11 21:00:00,0.02,0.69,0,4.09
2018-10-11 22:00:00,0.01,0.7,0,4.05
2018-10-11 23:00:00,0,0.72,0,4.07
2018-10-12 00:00:00,0,0.75,0,3.91
2018-10-12 01:00:00,0,0.77,0,3.38
2018-10-12 02:00:00,0,0.78,0,2.67
2018-10-12 03:00:00,0,0.78,0,2.16
2018-10-12 04:00:00,0.04,0.77,0,1.94
2018-10-12 05:00:00,0.1,0.74,0,1.91
2018-10-12 06:00:00,0.13,0.72,0,1.91
2018-10-12 07:00:00,0.12,0.69,0,1.85
2018-10-12 08:00:00,0.1,0.66,0,1.78
2018-10-12 09:00:00,0.07,0.65,0,1.18
2018-10-12 10:00:00,0.25,0.63,0,1.01
2018-10-12 11:00:00,0.49,0.62,0,0.9
2018-10-12 12:00:00,0.65,0.62,0,0.96
2018-10-12 13:00:00,0.63,0.61,0,1.24
2018-10-12 14:00:00,0.51,0.6,0,1.63
2018-10-12 15:00:00,0.39,0.58,0,2.02
2018-10-12 16:00:00,0.28,0.58,0,2.53
2018-10-12 17:00:00,0.18,0.58,0,3.12
2018-10-12 18:00:00,0.14,0.59,0,3.53
2018-10-12 19:00:00,0.19,0.6,0,3.6
2018-10-12 20:00:00,0.31,0.62,0,3.48
2018-10-12 21:00:00,0.43,0.65,0,2.21
2018-10-12 22:00:00,0.51,0.65,0,2.07
2018-10-12 23:00:00,0.58,0.66,0,2.19
2018-10-13 00:00:00,0.6,0.68,0,2.39
2018-10-13 01:00:00,0.53,0.7,0,2.48
2018-10-13 02:00:00,0.41,0.71,0,2.56
2018-10-13 03:00:00,0.3,0.72,0,2.54
2018-10-13 04:00:00,0.25,0.73,0,2.66
2018-10-13 05:00:00,0.23,0.71,0,2.85
2018-10-13 06:00:00,0.23,0.7,0,2.99
2018-10-13 07:00:00,0.25,0.69,0,2.99
2018-10-13 08:00:00,0.29,0.67,0,2.92
2018-10-13 09:00:00,0.33,0.67,0,2.16
2018-10-13 10:00:00,0.49,0.65,0,2.06
2018-10-13 11:00:00,0.69,0.64,0,2.04
2018-10-13 12:00:00,0.82,0.63,0,2.1
2018-10-13 13:00:00,0.82,0.63,0,2.29
2018-10-13 14:00:00,0.76,0.62,0,2.56
2018-10-13 15:00:00,0.67,0.61,0,2.52
2018-10-13 16:00:00,0.53,0.61,0,2.63
2018-10-13 17:00:00,0.35,0.61,0,2.73
2018-10-13 18:00:00,0.23,0.62,0,2.78
2018-10-13 19:00:00,0.19,0.63,0,2.71
2018-10-13 20:00:00,0.19,0.65,0,2.59
2018-10-13 21:00:00,0.19,0.68,0,1.7
2018-10-13 22:00:00,0.14,0.7,0,2.11
2018-10-13 23:00:00,0.06,0.71,0,2.84
2018-10-14 00:00:00,0.01,0.74,0,3.58
2018-10-14 01:00:00,0.01,0.77,0,4.3
2018-10-14 02:00:00,0.02,0.78,0,5.04
2018-10-14 03:00:00,0.07,0.79,0,5.6
2018-10-14 04:00:00,0.25,0.79,0,5.92
2018-10-14 05:00:00,0.5,0.78,0,6.11
2018-10-14 06:00:00,0.67,0.76,0,6.34
2018-10-14 07:00:00,0.69,0.74,0,6.7
2018-10-14 08:00:00,0.64,0.71,0.0066,7.11
2018-10-14 09:00:00,0.61,0.69,0.0077,7.96
2018-10-14 10:00:00,0.56,0.67,0.0058,8.41
2018-10-14 11:00:00,0.49,0.67,0,8.83
2018-10-14 12:00:00,0.45,0.66,0,9.12
2018-10-14 13:00:00,0.43,0.65,0,9.21
2018-10-14 14:00:00,0.43,0.65,0.0062,9.15
2018-10-14 15:00:00,0.48,0.64,0.0089,8.81
2018-10-14 16:00:00,0.55,0.64,0.0096,8.69
2018-10-14 17:00:00,0.65,0.65,0.0104,8.56
2018-10-14 18:00:00,0.7,0.67,0.0114,8.5
2018-10-14 19:00:00,0.66,0.69,0.0208,8.54
2018-10-14 20:00:00,0.57,0.72,0.0428,8.66
2018-10-14 21:00:00,0.52,0.75,0.0605,8.26
2018-10-14 22:00:00,0.47,0.76,0.0392,8.52
2018-10-14 23:00:00,0.43,0.77,0.0128,8.94
2018-10-15 00:00:00,0.41,0.79,0,9.26
2018-10-15 01:00:00,0.4,0.81,0,9.37
2018-10-15 02:00:00,0.42,0.83,0,9.37
2018-10-15 03:00:00,0.71,0.83,0,9.45
2018-10-15 04:00:00,0.59,0.82,0.0094,9.57
2018-10-15 05:00:00,0.62,0.8,0.0137,9.7
2018-10-15 06:00:00,0.63,0.77,0.0151,9.83
2018-10-15 07:00:00,0.71,0.74,0.0122,9.98
2018-10-15 08:00:00,0.63,0.72,0.0053,10.12
2018-10-15 09:00:00,0.61,0.7,0,10.64
2018-10-15 10:00:00,0.69,0.69,0,10.7
2018-10-15 11:00:00,0.58,0.69,0,10.81
2018-10-15 12:00:00,0.44,0.69,0,10.75
2018-10-15 13:00:00,0.52,0.69,0.254,10.41
2018-10-15 14:00:00,0.56,0.69,0.1348,10.24
2018-10-15 15:00:00,0.58,0.69,0.3626,10.14
2018-10-15 16:00:00,0.65,0.69,0.1487,9.81
2018-10-15 17:00:00,0.74,0.7,0.0116,9.38
2018-10-15 18:00:00,0.8,0.71,0.0724,8.92
2018-10-15 19:00:00,0.81,0.72,0.2272,8.67
2018-10-15 20:00:00,0.8,0.73,0.245,8.52
2018-10-15 21:00:00,0.8,0.76,0.1559,8.83
2018-10-15 22:00:00,0.77,0.78,0.3369,8.9
2018-10-15 23:00:00,0.72,0.8,0.6891,9.07
2018-10-16 00:00:00,0.69,0.82,0.5912,9.24
2018-10-16 01:00:00,0.66,0.83,0.438,9.39
2018-10-16 02:00:00,0.64,0.85,0.3637,9.58
2018-10-16 03:00:00,0.6,0.86,0.1896,9.6
2018-10-16 04:00:00,0.62,0.86,0.1877,9.87
2018-10-16 05:00:00,0.66,0.85,0.3474,10.15
2018-10-16 06:00:00,0.69,0.83,0.4153,10.08
2018-10-16 07:00:00,0.73,0.8,0.3505,10.11
2018-10-16 08:00:00,0.78,0.77,0.409,10.17
2018-10-16 09:00:00,0.81,0.75,0.5394,10.15
2018-10-16 10:00:00,0.89,0.74,0.4667,10.35
2018-10-16 11:00:00,0.95,0.74,1.0988,10.35
2018-10-16 12:00:00,1,0.75,1.7392,10.02
2018-10-16 13:00:00,1,0.77,1.5979,9.68
2018-10-16 14:00:00,1,0.77,1.2231,9.3
2018-10-16 15:00:00,1,0.77,1.1268,7.7
2018-10-16 16:00:00,1,0.77,1.42,6.96
2018-10-16 17:00:00,1,0.78,1.8282,7.22
2018-10-16 18:00:00,1,0.79,2.0429,8.18
2018-10-16 19:00:00,1,0.8,2.1082,8.72
2018-10-16 20:00:00,1,0.81,2.2122,8.25
2018-10-16 21:00:00,1,0.82,2.086,7.01
2018-10-16 22:00:00,1,0.83,2.002,6.06
2018-10-16 23:00:00,1,0.85,2.2359,6.17
2018-10-17 00:00:00,1,0.87,1.9802,6.48
2018-10-17 01:00:00,1,0.88,1.1969,6.83
2018-10-17 02:00:00,1,0.88,0.4566,6.83
2018-10-17 03:00:00,1,0.88,0.2769,6.08
2018-10-17 04:00:00,1,0.88,0.3697,6.3
2018-10-17 05:00:00,1,0.86,0.2477,6.2
2018-10-17 06:00:00,1,0.84,0.1562,5.21
2018-10-17 07:00:00,0.99,0.8,0.1465,5.51
2018-10-17 08:00:00,0.95,0.78,0.1399,5.44
2018-10-17 09:00:00,0.94,0.78,0.1193,6.65
2018-10-17 10:00:00,0.98,0.78,0.1386,6.7
2018-10-17 11:00:00,0.94,0.78,0.2117,6.79
2018-10-17 12:00:00,0.92,0.78,0.3087,6.85
2018-10-17 13:00:00,0.89,0.78,0.4526,6.87
2018-10-17 14:00:00,0.88,0.79,0.6639,6.85
2018-10-17 15:00:00,0.9,0.78,0.7441,6.86
2018-10-17 16:00:00,0.94,0.78,0.5712,6.93
2018-10-17 17:00:00,0.93,0.77,0.3277,7.03
2018-10-17 18:00:00,0.91,0.78,0.1986,6.92
2018-10-17 19:00:00,0.9,0.79,0.1366,7.06
2018-10-17 20:00:00,0.93,0.8,0.1275,7.15
2018-10-17 21:00:00,0.94,0.81,0.1702,7.13
2018-10-17 22:00:00,0.89,0.81,0.1637,7.12
2018-10-17 23:00:00,0.82,0.82,0.1333,6.7
2018-10-18 00:00:00,0.79,0.84,0.1483,6.32
2018-10-18 01:00:00,0.73,0.84,0.1876,6.68
2018-10-18 02:00:00,0.67,0.85,0.2086,6.76
2018-10-18 03:00:00,0.64,0.85,0.2403,6.43
2018-10-18 04:00:00,0.6,0.85,0.1731,6.19
2018-10-18 05:00:00,0.61,0.83,0.0922,5.97
2018-10-18 06:00:00,0.67,0.81,0.0765,5.75
2018-10-18 07:00:00,0.73,0.79,0.1572,5.56
2018-10-18 08:00:00,0.67,0.77,0.3491,5.37
2018-10-18 09:00:00,0.65,0.75,0.5172,5.44
2018-10-18 10:00:00,0.74,0.75,0.4254,5.24
2018-10-18 11:00:00,0.84,0.74,0.2659,5.09
2018-10-18 12:00:00,0.87,0.74,0.1963,4.9
2018-10-18 13:00:00,0.85,0.74,0.2184,4.62
2018-10-18 14:00:00,0.75,0.74,0.3012,4.3
2018-10-18 15:00:00,0.69,0.74,0.3772,4.14
2018-10-18 16:00:00,0.63,0.75,0.3378,3.84
2018-10-18 17:00:00,0.54,0.76,0.2551,3.51
2018-10-18 18:00:00,0.46,0.78,0.1858,3.12
2018-10-18 19:00:00,0.43,0.78,0.1334,2.67
2018-10-18 20:00:00,0.33,0.79,0.0993,2.27
2018-10-18 21:00:00,0.32,0.78,0.0804,3.4
2018-10-18 22:00:00,0.34,0.78,0.0636,3.57
2018-10-18 23:00:00,0.37,0.8,0.0434,3.65
2018-10-19 00:00:00,0.33,0.81,0.045,3.72
2018-10-19 01:00:00,0.33,0.82,0.0679,3.82
2018-10-19 02:00:00,0.35,0.83,0.0475,3.9
2018-10-19 03:00:00,0.3,0.84,0.0386,4.08
2018-10-19 04:00:00,0.33,0.83,0.0509,4.24
2018-10-19 05:00:00,0.31,0.82,0.0438,4.35
2018-10-19 06:00:00,0.28,0.79,0.0365,4.47
2018-10-19 07:00:00,0.33,0.76,0.0207,4.63
2018-10-19 08:00:00,0.34,0.74,0.014,4.71
2018-10-19 09:00:00,0.33,0.7,0.0132,4.49
2018-10-19 10:00:00,0.04,0.69,0,4.84
2018-10-19 11:00:00,0.07,0.69,0,5.21
2018-10-19 12:00:00,0.11,0.69,0,5.47
2018-10-19 13:00:00,0.17,0.69,0,5.51
2018-10-19 14:00:00,0.24,0.69,0,5.47
2018-10-19 15:00:00,0.33,0.69,0,5.5
2018-10-19 16:00:00,0.53,0.7,0,5.58
2018-10-19 17:00:00,0.77,0.72,0.0065,5.71
2018-10-19 18:00:00,0.94,0.73,0.0094,5.98
2018-10-19 19:00:00,0.97,0.75,0.0132,6.44
2018-10-19 20:00:00,0.93,0.76,0.0241,7.03
2018-10-19 21:00:00,0.9,0.79,0.0332,6.81
2018-10-19 22:00:00,0.92,0.79,0.022,7.41
2018-10-19 23:00:00,0.95,0.8,0.0093,8.05
2018-10-20 00:00:00,0.98,0.81,0.0082,8.58
2018-10-20 01:00:00,0.99,0.82,0.0119,8.95
2018-10-20 02:00:00,0.99,0.83,0.0196,9.22
2018-10-20 03:00:00,0.99,0.84,0.0276,9.55
2018-10-20 04:00:00,0.99,0.83,0.0317,9.88
2018-10-20 05:00:00,1,0.81,0.0376,10.22
2018-10-20 06:00:00,1,0.79,0.0452,10.5
2018-10-20 07:00:00,1,0.77,0.054,10.68
2018-10-20 08:00:00,0.99,0.74,0.0651,10.82
2018-10-20 09:00:00,0.98,0.73,0.0697,10.69
2018-10-20 10:00:00,0.95,0.73,0.0551,10.98
2018-10-20 11:00:00,0.9,0.73,0.0357,11.34
2018-10-20 12:00:00,0.87,0.74,0.0262,11.65
2018-10-20 13:00:00,0.87,0.74,0.0311,11.95
2018-10-20 14:00:00,0.9,0.74,0.0485,12.18
2018-10-20 15:00:00,0.92,0.74,0.0649,11.23
2018-10-20 16:00:00,0.95,0.75,0.0551,10.24
2018-10-20 17:00:00,0.98,0.76,0.0536,8.98
2018-10-20 18:00:00,1,0.78,0.1008,8.39
2018-10-20 19:00:00,1,0.79,0.3143,9.12
2018-10-20 20:00:00,1,0.79,0.813,10.5
2018-10-20 21:00:00,1,0.79,1.2009,11.46
2018-10-20 22:00:00,1,0.8,1.3338,12.01
2018-10-20 23:00:00,1,0.81,1.2743,12.31
2018-10-21 00:00:00,1,0.82,1.0705,12.41
2018-10-21 01:00:00,1,0.83,0.6824,12.27
2018-10-21 02:00:00,1,0.85,0.3092,11.93
2018-10-21 03:00:00,1,0.86,0.1449,10.96
2018-10-21 04:00:00,1,0.86,0.1343,10.78
2018-10-21 05:00:00,1,0.85,0.2127,10.68
2018-10-21 06:00:00,1,0.84,0.317,10.23
2018-10-21 07:00:00,1,0.81,0.4344,9.71
2018-10-21 08:00:00,1,0.79,0.6832,8.57
2018-10-21 09:00:00,1,0.79,0.9237,6.17
2018-10-21 10:00:00,1,0.77,0.9272,5.59
